"","LATITUDE","LONGITUDE","BRIGHTNESS","SCAN","TRACK","ACQ_DATE","ACQ_TIME","SATELLITE","INSTRUMENT","CONFIDENCE","VERSION","BRIGHT_T31","FRP","DAYNIGHT","TYPE","X","Y","Date"
"100",33.715828,-117.710754,NA,5752,7248,"10/21/2022 0:00:00",1828,"L9","OLI-2","M",NA,NA,NA,"D",NA,-117.71074194,33.7158231,2022-10-21
"101",33.716098,-117.710756,NA,5752,7247,"10/21/2022 0:00:00",1828,"L9","OLI-2","M",NA,NA,NA,"D",NA,-117.71074394,33.7160931,2022-10-21
"102",33.715826,-117.711078,NA,5751,7248,"10/21/2022 0:00:00",1828,"L9","OLI-2","L",NA,NA,NA,"D",NA,-117.71106594,33.7158211,2022-10-21
"103",33.716097,-117.71108,NA,5751,7247,"10/21/2022 0:00:00",1828,"L9","OLI-2","M",NA,NA,NA,"D",NA,-117.71106794,33.7160921,2022-10-21
"104",34.291755,-118.801622,NA,2420,5078,"10/21/2022 0:00:00",1828,"L9","OLI-2","H",NA,NA,NA,"D",NA,-118.80160971,34.2917501,2022-10-21
"105",34.291479,-118.801942,NA,2419,5079,"10/21/2022 0:00:00",1828,"L9","OLI-2","M",NA,NA,NA,"D",NA,-118.80192971,34.2914741,2022-10-21
"106",34.29175,-118.801948,NA,2419,5078,"10/21/2022 0:00:00",1828,"L9","OLI-2","H",NA,NA,NA,"D",NA,-118.80193571,34.2917451,2022-10-21
"107",34.29202,-118.801954,NA,2419,5077,"10/21/2022 0:00:00",1828,"L9","OLI-2","H",NA,NA,NA,"D",NA,-118.80194171,34.2920151,2022-10-21
"108",34.291745,-118.802274,NA,2418,5078,"10/21/2022 0:00:00",1828,"L9","OLI-2","M",NA,NA,NA,"D",NA,-118.80226171,34.2917401,2022-10-21
"109",33.715828,-117.710754,NA,7062,1978,"10/21/2022 0:00:00",1829,"L9","OLI-2","M",NA,NA,NA,"D",NA,-117.71074194,33.7158231,2022-10-21
"110",33.716098,-117.710756,NA,7062,1977,"10/21/2022 0:00:00",1829,"L9","OLI-2","M",NA,NA,NA,"D",NA,-117.71074394,33.7160931,2022-10-21
"111",33.715826,-117.711078,NA,7061,1978,"10/21/2022 0:00:00",1829,"L9","OLI-2","L",NA,NA,NA,"D",NA,-117.71106594,33.7158211,2022-10-21
"112",33.716097,-117.71108,NA,7061,1977,"10/21/2022 0:00:00",1829,"L9","OLI-2","M",NA,NA,NA,"D",NA,-117.71106794,33.7160921,2022-10-21
"113",33.717269,-117.695224,NA,5800,7253,"10/29/2022 0:00:00",1828,"L8","OLI","M",NA,NA,NA,"D",NA,-117.69521194,33.7172641,2022-10-29
"114",33.71754,-117.695227,NA,5800,7252,"10/29/2022 0:00:00",1828,"L8","OLI","M",NA,NA,NA,"D",NA,-117.69521494,33.7175351,2022-10-29
"115",33.715828,-117.710754,NA,5752,7258,"10/29/2022 0:00:00",1828,"L8","OLI","H",NA,NA,NA,"D",NA,-117.71074194,33.7158231,2022-10-29
"116",33.716098,-117.710756,NA,5752,7257,"10/29/2022 0:00:00",1828,"L8","OLI","H",NA,NA,NA,"D",NA,-117.71074394,33.7160931,2022-10-29
"117",33.715826,-117.711078,NA,5751,7258,"10/29/2022 0:00:00",1828,"L8","OLI","H",NA,NA,NA,"D",NA,-117.71106594,33.7158211,2022-10-29
"118",34.291484,-118.801616,NA,2420,5089,"10/29/2022 0:00:00",1828,"L8","OLI","H",NA,NA,NA,"D",NA,-118.80160371,34.2914791,2022-10-29
"119",34.291755,-118.801622,NA,2420,5088,"10/29/2022 0:00:00",1828,"L8","OLI","H",NA,NA,NA,"D",NA,-118.80160971,34.2917501,2022-10-29
"120",34.291479,-118.801942,NA,2419,5089,"10/29/2022 0:00:00",1828,"L8","OLI","H",NA,NA,NA,"D",NA,-118.80192971,34.2914741,2022-10-29
"121",34.29175,-118.801948,NA,2419,5088,"10/29/2022 0:00:00",1828,"L8","OLI","H",NA,NA,NA,"D",NA,-118.80193571,34.2917451,2022-10-29
"122",34.29202,-118.801954,NA,2419,5087,"10/29/2022 0:00:00",1828,"L8","OLI","H",NA,NA,NA,"D",NA,-118.80194171,34.2920151,2022-10-29
"123",33.717269,-117.695224,NA,7120,1973,"10/29/2022 0:00:00",1829,"L8","OLI","M",NA,NA,NA,"D",NA,-117.69521194,33.7172641,2022-10-29
"124",33.71754,-117.695227,NA,7120,1972,"10/29/2022 0:00:00",1829,"L8","OLI","M",NA,NA,NA,"D",NA,-117.69521494,33.7175351,2022-10-29
